e0.kV, Si.Int.mu, Si.Int.unc
5.000,5922.850,7.700
6.000,9162.750,9.570
7.000,13118.810,11.960
8.000,17046.870,13.060
9.000,21248.510,14.580
10.000,25653.090,16.020
11.000,30011.420,18.500
12.000,34760.800,18.640
13.000,38928.700,21.160
14.000,43551.420,22.230
15.000,47573.350,23.280
16.000,52893.870,24.440
17.000,57250.440,26.500
18.000,60184.210,26.200
19.000,64698.590,27.300
20.000,69590.590,28.250
21.000,74368.370,29.070
22.000,80631.210,30.430
23.000,84178.630,31.000
24.000,87383.430,31.730
25.000,92125.150,32.620
26.000,95671.760,33.210
27.000,97496.320,33.630
28.000,100782.450,34.120
29.000,105491.740,35.000
30.000,109111.650,35.480
